,File_name,QR_name,Label,Location_X,Location_Y,Area,Perimeter,Major_axis,Minor_axis,Orientaion,Eccentricity,Solidity,Median_R,Median_G,Median_B,std_R,std_G,std_B,Mean_R,Mean_G,Mean_B
2,IMG_0008.JPG,b'advanced_22_W1106-052_1',3,857,1709,53520,977.0508652763322,322,214,0.05924928584426424,0.746852823711729,0.9575952764358562,56.0,141.0,144.0,10.445684968450932,17.952490466896766,18.931733267976117,56.53883667482576,139.13744651432202,142.58719333320877
3,IMG_0008.JPG,b'advanced_22_W1106-052_1',4,1085,2643,64718,1138.95750288788,361,233,1.159297095068578,0.7643969723648678,0.9271255640713416,58.0,148.0,142.0,13.200607260024787,12.494438750256737,12.066184709043219,59.519106262651235,147.24410896673209,142.0940865614908
4,IMG_0008.JPG,b'advanced_22_W1106-052_1',5,1604,1637,45112,888.8498551495554,297,197,-0.4951512107294382,0.7485124653250029,0.9640964267396136,53.0,131.0,128.0,7.550041983765684,13.835261756318676,15.168693543370324,54.71685398239897,129.17853738556008,124.98494823878876
5,IMG_0008.JPG,b'advanced_22_W1106-052_1',6,1605,2729,49429,938.9331162702406,313,205,0.9724772681216464,0.7552434776557168,0.9611861934856587,54.0,130.0,127.0,8.493825353182498,12.174268619092759,12.78602074230832,55.02443958889698,131.54628955248037,127.23486687707373
6,IMG_0008.JPG,b'advanced_22_W1106-052_1',7,1909,932,36844,818.1219330881976,258,184,0.17091154879208115,0.7027693442323759,0.9502488845330513,53.0,124.0,122.0,7.308239248639733,12.752995088113389,14.987989498942415,53.02214803354776,122.05976711994137,118.92259045137476
7,IMG_0008.JPG,b'advanced_22_W1106-052_1',8,2274,2569,71512,1167.5849198858498,374,249,-1.1176044212370253,0.7469085893863358,0.9536077662652852,53.0,124.0,123.0,7.853935928041521,16.790928139146846,18.556980797320353,53.73801233376683,122.41449567199452,120.68905483072534
8,IMG_0008.JPG,b'advanced_22_W1106-052_1',9,2412,1334,42400,959.5016587651645,252,218,1.1745732530374946,0.5013110576498839,0.9338178614690013,58.0,129.0,125.0,9.036940580167705,11.594056147629532,11.553755500569615,58.61456638128258,129.564706714781,124.25774192787566
9,IMG_0008.JPG,b'advanced_22_W1106-052_1',10,2573,1795,34162,833.5361466505706,246,178,-1.5542759957182135,0.6895440053306965,0.9429722866291267,59.0,140.0,135.0,13.13081859146873,12.811507523422277,11.310552458210049,61.1136383595328,138.71341588360997,134.55174028863323
0,IMG_0009.JPG,b'advanced_22_2010008-008_1',1,679,2905,76318,1349.893577750951,361,273,1.3672225940481884,0.6521555413501438,0.8998278586082487,52.0,134.0,126.0,11.102597146846053,17.026589244647507,16.74746025621878,53.14387357993632,132.4130403448773,124.47399661936397
1,IMG_0009.JPG,b'advanced_22_2010008-008_1',2,886,1295,64814,1431.0651506262047,359,237,-1.5691285380352769,0.7512825934720394,0.8354580492143493,55.0,129.0,119.0,8.074729701622168,17.162945882404546,17.914710706645366,54.70598491043464,127.04838535478993,116.80070356255689
2,IMG_0009.JPG,b'advanced_22_2010008-008_1',3,918,2531,71864,1288.4966081312812,335,276,1.5339344833295347,0.5667690762190356,0.9141374309919352,55.0,138.0,127.0,13.69887188076324,14.047759466621935,13.752602970676397,55.41805936295451,139.47701877182973,128.80844106146418
3,IMG_0009.JPG,b'advanced_22_2010008-008_1',4,1133,1595,84542,1752.9129137347072,441,250,-0.7226960621245695,0.8229937049676749,0.8367926675970742,52.0,129.0,124.0,11.210342908850278,16.237374731640877,17.270979127152103,54.18030304822512,128.69281177180304,122.14678085189435
4,IMG_0009.JPG,b'advanced_22_2010008-008_1',5,1465,3153,76929,1267.9696961967002,370,268,1.4529683382070235,0.6896089203647889,0.9405673065166891,58.0,128.0,128.0,11.331271123516386,17.45810132120741,19.029059897147597,58.142691867720465,127.73992564475874,126.2754393718802
5,IMG_0009.JPG,b'advanced_22_2010008-008_1',6,1735,1852,55157,1147.4671708797582,330,215,-0.8447780261620658,0.7577234194706411,0.9216642994402205,53.0,120.0,114.0,6.114637241844917,13.621227095376922,16.62777602874938,53.84772282253971,119.55259627239104,112.82734425991733
6,IMG_0009.JPG,b'advanced_22_2010008-008_1',7,1774,2405,72182,1301.668181006535,342,274,1.3328375494377076,0.5986363976167008,0.900103500305513,52.0,136.0,131.0,11.313435406146333,15.928093216168385,15.826402434471916,52.83715936326734,134.21328327399178,128.79417021099735
7,IMG_0009.JPG,b'advanced_22_2010008-008_1',8,1862,1024,43836,982.4062043356595,259,226,1.4771082327465588,0.4880440673145747,0.8378120102442567,46.0,118.0,116.0,8.061019131738567,14.149386807813228,14.915226190619975,47.87135850347895,116.81523896429793,112.18079160488195
8,IMG_0009.JPG,b'advanced_22_2010008-008_1',9,2227,1459,58940,1198.8813844421313,305,252,-1.1497540997649673,0.561301387578705,0.8944397232001943,53.0,118.0,109.0,7.4912306951500165,11.86231908357081,14.7295760792076,53.13439318617554,117.88649281460494,108.59598907344882
