"genotype","rep","image","avg_cone_weight_adj","SE","df","lower.CL","upper.CL"
"W1406-001","2","1",0.151399894854713,0.0236175811554789,152.908294357432,0.108335877254611,0.201653652579798
"W1411-017","2","1",0.169668603469947,0.0250019206325889,152.908294344876,0.123869685131078,0.22265726193381
"W1425-006","2","1",0.221760041299965,0.0285834256399815,152.908294200766,0.16888550252767,0.281824320197363
"2014001-005","1","10",0.311813325162055,0.0338937767764924,152.908296961403,0.248447657967464,0.382368732479678
"2014005-019","1","10",0.135200520490402,0.0223183359903825,152.908295371088,0.0947032913285992,0.182887489776427
"2014005-024","1","10",0.149589445998249,0.0234759462494171,152.908295379983,0.106805242286661,0.199563389834053
"2014006-046","1","10",0.0944742182468516,0.0186564617924308,152.908295441428,0.0612113868714069,0.134926789746467
"2014007-001","1","10",0.163193158818048,0.024520177179576,152.908295351287,0.1183459727315,0.215230085028835
"2014008-016","1","10",0.128031193708577,0.0217185349944356,152.908295364695,0.088718931250342,0.174533196291041
"2014009-010","1","10",0.0954996617038185,0.0187574391462429,152.908295291514,0.0620373394921945,0.136151724039726
"2014009-012","1","10",0.209250656559501,0.0277655348831374,152.908295408829,0.157991942573151,0.267699110670046
"2014009-034","1","10",0.131544511533621,0.0220145086082092,152.908295419255,0.0916475236751815,0.178631239516247
"2014009-041","1","10",0.133270911360802,0.031049008289462,166.340149853091,0.0790191639867164,0.201621024216922
"2014009-046","1","10",0.152718019699506,0.0237201685962465,152.908295376109,0.109451330378152,0.203174449145079
"2014010-010","1","10",0.120440189595609,0.021064848735123,152.908295389797,0.0824193495543653,0.165650769761061
"W1406-001","1","10",0.0952196926984341,0.0187299240954285,152.908295455661,0.0618117292148482,0.13581739630618
"W1411-017","1","10",0.153470597602436,0.0237785419843624,152.908295434509,0.110088585829657,0.20404234949939
"W1425-006","1","10",0.278330004170626,0.0320223089044155,152.908295386356,0.218661608449852,0.345188140015613
"2014001-005","2","10",0.314748007270644,0.0340529016576839,152.908296627872,0.251067972997957,0.385617781666612
"2014005-019","2","10",0.137135293854167,0.0224774608715742,152.908295349513,0.0963236976152465,0.185136630217327
"2014005-024","2","10",0.151624215953288,0.0236350711306087,152.908295358435,0.10852564516458,0.201912526866229
"2014006-046","2","10",0.0960926719040386,0.0188155866736224,152.908295419852,0.0625154734514852,0.136859610480779
"2014007-001","2","10",0.165318131440785,0.0246793020607677,152.908295329715,0.120156578277113,0.217669424728711
"2014008-016","2","10",0.129914155113551,0.0218776598756273,152.908295343147,0.0902875255781993,0.176730524773147
"2014009-010","2","10",0.0971268379782234,0.0189165640274346,152.908295269972,0.0633501486894881,0.138093267391258
"2014009-012","2","10",0.211655969396302,0.0279246597643291,152.908295387315,0.160082888332823,0.270418790583993
"2014009-034","2","10",0.133453039706212,0.0221736334894008,152.908295397677,0.0932416847706565,0.180854134765971
"2014009-041","2","10",0.13519187758958,0.0318491525737821,141.320774976217,0.0795603215290693,0.20548503276183
"2014009-046","2","10",0.154773886048608,0.0238792934774382,152.908295354503,0.111192829650134,0.205544682571319
"2014010-010","2","10",0.122266684329538,0.0212239736163146,152.908295368209,0.0839314772111804,0.167791631572122
"W1406-001","2","10",0.0968444921700518,0.0188890489766202,152.908295433935,0.0631221616093572,0.137756562854923
"W1411-017","2","10",0.155531506356602,0.0239376668655541,152.908295412778,0.111835127506703,0.206417625330694
"W1425-006","2","10",0.281103025300119,0.0321814337856072,152.908295364914,0.221120262502206,0.348275528222261
"2014001-005","1","11",0.298607412703103,0.0331682777757124,152.90829691298,0.236675041159992,0.367729524369282
"2014005-019","1","11",0.136556975897093,0.0224300155618455,152.908295361139,0.0958391126007041,0.184464579317714
"2014005-024","1","11",0.110831015742529,0.0202070672271201,152.908295395149,0.0745048086425478,0.154346962966715
