"genotype","rep","image","perimeter","SE","df","asymp.LCL","asymp.UCL"
"2014009-012","2","16",14.9195174798957,1.07759933422245,Inf,12.8822089866298,17.1063207563105
"2014009-034","2","16",13.4837845039663,1.02443834797651,Inf,11.5506696291252,15.5663941619565
"2014009-041","2","16",10.3752317188117,0.905525191314803,Inf,8.6763345518542,12.2259280759957
"2014009-046","2","16",12.5368992955915,0.98781358435547,Inf,10.6755676383898,14.5477257359421
"2014010-010","2","16",10.0847342306426,0.885956001302321,Inf,8.42303976777741,11.8959234766567
"W1406-001","2","16",8.1587188280801,0.802994561419852,Inf,6.66077799829062,9.80845883861951
"W1411-017","2","16",12.5197827785936,0.987139027488879,Inf,10.659773228556,14.5292871117802
"W1425-006","2","16",13.5039875371159,1.02520552929358,Inf,11.5693690145237,15.5881008428571
"2014001-005","1","17",16.6833949126221,1.13952049497046,Inf,14.5247231744092,18.9915614339839
"2014005-019","1","17",8.73649234522424,0.824609769848232,Inf,7.19503428659633,10.4274451870011
"2014005-024","1","17",12.5074085727091,0.986651076478536,Inf,10.648355389078,14.5159565394892
"2014006-046","1","17",10.2414244623595,0.892812184614225,Inf,8.56629212713162,12.0660515807364
"2014007-001","1","17",10.2705363892456,0.894080222996711,Inf,8.592918744457,12.0976488171832
"2014008-016","1","17",12.8111069208535,0.998557903649716,Inf,10.9287167847967,14.8429918400592
"2014009-010","1","17",10.8264405351376,0.917957919566758,Inf,9.10202346503789,12.7003523883862
"2014009-012","1","17",16.5231890913733,1.13403605378994,Inf,14.3752666603496,18.820606305546
"2014009-034","1","17",11.7525547939763,0.956414315417981,Inf,9.95276457303302,13.7018397980686
"2014009-041","1","17",10.060942711579,0.879094019101464,Inf,8.41171812166871,11.8577033545956
"2014009-046","1","17",11.9378161358391,0.971362541231595,Inf,10.109886172465,13.9175573659554
"2014010-010","1","17",9.36394628341476,0.85370806145941,Inf,7.7654566212173,11.1119307287612
"W1406-001","1","17",9.96337825642877,0.880609233393786,Inf,8.31216326609801,11.7640880299085
"W1411-017","1","17",11.8351373858739,0.959768688595732,Inf,10.0287727143116,13.7909968405853
"W1425-006","1","17",15.9443012717715,1.1139935377824,Inf,13.8356614502822,18.2024358764099
"2014001-005","2","17",17.2365406036204,1.15825712107327,Inf,15.0411457530542,19.5814302373355
"2014005-019","2","17",9.13802065651235,0.843346395951022,Inf,7.55983948553117,10.8656966106425
"2014005-024","2","17",12.9869535292116,1.00538770258133,Inf,11.0911772332272,15.032224608345
"2014006-046","2","17",10.6757896083179,0.911548810717015,Inf,8.96393416073668,12.537139839048
"2014007-001","2","17",10.7055120468238,0.912816849099501,Inf,8.99117128968198,12.5693475871147
"2014008-016","2","17",13.2963845558339,1.01729452975251,Inf,11.3772713074239,15.3649925873929
"2014009-010","2","17",11.2729123835364,0.936694545669548,Inf,9.51177220108348,13.1835473491383
"2014009-012","2","17",17.0736942352747,1.15277267989273,Inf,14.8890486918977,19.4078345618006
"2014009-034","2","17",12.2175419151395,0.975150941520771,Inf,10.381028581843,14.203550031585
"2014009-041","2","17",10.4915034178008,0.89773854994989,Inf,8.80574132301871,12.3248117738887
"2014009-046","2","17",12.4064184264457,0.990204359731028,Inf,10.5415531348654,14.4230828996801
"2014010-010","2","17",9.7794843008709,0.8724446875622,Inf,8.14427152632017,11.5641918585706
"W1406-001","2","17",10.39186815159,0.899345859496576,Inf,8.70393004890602,12.229301037423
"W1411-017","2","17",12.3017395084684,0.978505314698522,Inf,10.4586517245527,14.294322075533
"W1425-006","2","17",16.4851567165124,1.13273016388519,Inf,14.3397937826697,18.780014433504
